ranks,views,article
1,164398248,Main Page
2,24128196,Jeffrey Dahmer
3,8720692,Rishi Sunak
4,6045953,-
5,5896334,Cleopatra
6,5367653,House of the Dragon
7,5179193,Christopher Scarver
8,5028753,Ponniyin Selvan: I
10,4283583,Black Adam (film)
11,4029244,Kantara (film)
12,4021192,YouTube
13,3922846,Deaths in 2022
14,3807177,Marilyn Monroe
15,3425662,Liz Truss
16,3321705,ICC Men's T20 World Cup
17,3007718,John Wayne Gacy
18,2981920,Robbie Coltrane
19,2856377,The Lord of the Rings: The Rings of Power
20,2716289,XXX: Return of Xander Cage
21,2709091,2022 Russian invasion of Ukraine
22,2667039,2022 ICC Men's T20 World Cup
23,2527674,Halloween
24,2481804,Leslie Jordan
25,2473056,Halloween Ends
26,2350049,The Watcher (2022 TV series)
27,2306602,Elon Musk
28,2297343,Smile (2022 film)
29,2236723,Akshata Murty
30,2227263,Angela Lansbury
31,2125116,Kanye West
32,2115677,Empress Elisabeth of Austria
33,2099636,Erling Haaland
34,2092867,Evan Peters
35,2055425,2022 FIFA World Cup
36,2028898,XNXX
37,2007209,Diwali
38,1955217,2022 Brazilian general election
39,1918555,Charles Cullen
40,1914118,XXX (film series)
41,1887884,Bible
43,1832854,Jerry Lee Lewis
44,1816657,Elizabeth II
45,1788290,Premier League
46,1766993,Black Adam
47,1764210,Wikipedia
48,1716073,Loretta Lynn
49,1715746,Emma D'Arcy
50,1650173,Andor (TV series)
51,1615663,Ansel Adams
52,1597529,Facebook
53,1560889,Michael J. Fox
54,1512489,Dahmer – Monster: The Jeffrey Dahmer Story
55,1489804,Google
56,1481896,Prime Minister of the United Kingdom
57,1480206,Franz Joseph I of Austria
58,1476317,Cristiano Ronaldo
59,1466201,Vikram Vedha (2022 film)
60,1429772,United States
61,1388278,Rishab Shetty
62,1376344,Luckiest Girl Alive (film)
63,1364741,Jesse Anderson
65,1361588,Charles III
66,1358938,Andrew Tate
67,1358865,Ted Bundy
68,1349023,She-Hulk: Attorney at Law
69,1345976,N. R. Narayana Murthy
70,1344314,Suella Braverman
71,1340764,Midnights
72,1335496,Don't Worry Darling
74,1321352,XXX (2002 film)
75,1319670,Terrifier 2
76,1288489,Taylor Swift
77,1286456,Lionel Messi
78,1285104,Godfather (2022 film)
79,1274121,India
80,1272428,Werewolf by Night (TV special)
81,1257976,XXXX (beer)
82,1245359,Jamie Lee Curtis
83,1226151,Web server directory index
84,1219227,Barbarian (2022 film)
85,1211791,Elvis Presley
86,1208404,Internet
87,1207440,Ponniyin Selvan
88,1195838,Herschel Walker
89,1181593,United Kingdom
90,1172571,Hocus Pocus (1993 film)
91,1158023,Hocus Pocus 2
92,1148707,Tom Brady
93,1143431,Google Translate
94,1124278,Brahmāstra: Part One – Shiva
95,1116472,UFC 280
96,1113935,Skathi (moon)
97,1102546,The Midnight Club
98,1092919,Luckiest Girl Alive
99,1091568,Ed Gein
100,1079970,Penny Mordaunt
101,1079585,Instagram
102,1073866,Dwayne Johnson
103,1070115,John Fetterman
104,1069322,Hellraiser (2022 film)
105,1067341,Aaron Judge
106,1059877,List of A Certain Magical Index characters
107,1051619,Black Panther: Wakanda Forever
108,1049092,Ram Setu (film)
109,1045981,List of serial killers by number of victims
110,1043140,Halloween (franchise)
111,1039688,Kwasi Kwarteng
112,1037889,Gmail
113,1028919,Bigg Boss (Hindi season 16)
114,1021306,Russia
115,1011792,XXXTentacion
116,1010099,Terrifier
117,1002804,CEO
118,997838,Boris Johnson
119,994420,Extreme Rules (2022)
120,989200,Blonde (2022 film)
121,972154,Tulsi Gabbard
122,963696,Guillermo del Toro's Cabinet of Curiosities
123,960831,Islam Makhachev
124,946090,Russo-Ukrainian War
125,944349,Mila Kunis
126,937662,YouTube Music
127,934385,Susan Wojcicki
129,928357,Bobby Cannavale
130,927367,Necrophilia
132,914230,Xi Jinping
133,911514,American Horror Story
134,906554,YouTube Premium
135,904954,Chainsaw Man
136,897739,Jeremy Hunt
137,891703,Gisele Bündchen
138,885171,Adipurush
139,879296,Olivia Cooke
140,873698,The School for Good and Evil (film)
141,873027,World War II
142,870355,Ukraine
143,869521,Video hosting service
144,862681,XXXX
145,862627,Luiz Inácio Lula da Silva
146,861953,Coolio
147,858431,The Good Nurse
148,857627,Laal Singh Chaddha
149,850258,UEFA Champions League
150,847598,Game of Thrones
151,845830,Vladimir Putin
152,843751,Matt Smith
153,842081,2022 Formula One World Championship
154,841288,Amsterdam (2022 film)
155,825807,World War I
156,824301,Olivia Wilde
157,822841,Blink-182
158,814088,Cat
159,813190,Top Gun: Maverick
160,804787,Ballon d'Or
161,802411,The Empress (TV series)
162,793834,Call of Duty: Modern Warfare II (2022 video game)
163,793594,Stoneman Douglas High School shooting
164,790408,Hu Jintao
165,789597,List of prime ministers of the United Kingdom
166,787868,Dancing with the Stars (American season 31)
167,787176,"Princess Margaret, Countess of Snowdon"
168,787155,Naomi Watts
169,780481,Julia Roberts
170,778285,Emmett Till
171,775639,John Balcerzak
172,772010,Raindrop cake
173,768120,Google Classroom
174,767633,Twitter
175,767542,Joe Biden
176,766400,WhatsApp
177,754322,Opinion polling for the next United Kingdom general election
178,744873,The Walking Dead (season 11)
179,741665,Microsoft Office
180,738793,List of highest-grossing Indian films
181,738751,The Pirate Bay
182,736059,Netflix
183,734679,Maryland
184,733370,George VI
185,733163,X (2022 film)
186,731642,Sex
187,728254,The Peripheral (TV series)
188,727293,Australia
189,726374,Harry Styles
190,725864,Karim Benzema
191,725419,Bigg Boss (Tamil season 6)
192,723303,List of Marvel Cinematic Universe films
193,716032,Matthew Perry
194,712428,Michael Myers (Halloween)
195,710675,JSON-LD
196,709885,Microdata (HTML)
197,709174,Canadian Premier League
198,708033,RDFa
199,700116,Sarah Jessica Parker
200,696873,Null
201,695535,Autofellatio
202,692226,All Quiet on the Western Front
203,692057,The Blair Witch Project
204,691690,Queen Victoria
205,690808,Ana de Armas
206,690718,List of World Series champions
207,688930,Microsoft Windows
208,688735,Victor Wembanyama
209,688557,Parag Agrawal
210,688185,Tom Cruise
211,686151,Brownie (folklore)
212,682701,Adolf Hitler
213,682341,Jennifer Coolidge
214,681252,Michael Jackson
215,677915,Donald Trump
216,673985,Manchester United F.C.
217,672458,Kari Lake
218,672296,Kim Kardashian
219,671687,Crimean Bridge
220,670071,Kathy Najimy
221,669794,Wrexham A.F.C.
222,667834,Bros (film)
223,667325,China
224,665670,Alex Jones
225,664161,A Song of Ice and Fire
226,663071,Bullet Train (film)
227,662862,Edward VIII
228,659950,Hurricane Ian
229,659858,Japan
230,657384,2022 FIVB Volleyball Women's World Championship
231,653432,Mahatma Gandhi
232,653257,Keanu Reeves
233,652936,The Legend of Maula Jatt
234,651039,New York City
235,650118,Blunt trauma
236,644081,Winston Churchill
237,643446,Bette Midler
238,643416,"Diana, Princess of Wales"
239,642406,Hilary Swank
240,636377,Ryan Reynolds
241,631667,Halloween Kills
242,630905,List of Hindi films of 2022
243,629993,Charles Oliveira
244,628643,Periodic table
245,626924,Real Madrid CF
246,626561,Sita Ramam
247,626423,Singapore
248,620836,Canada
249,616742,Chloë Grace Moretz
250,616630,LeBron James
251,615767,Jake Paul vs. Anderson Silva
252,614507,Halloween (1978 film)
253,614481,Margaret Thatcher
254,614257,Mr. Harrigan's Phone (film)
255,612483,Bailey Zappe
256,610422,Thank God (film)
257,609261,Pearl (2022 film)
258,608754,Richard Ramirez
259,607477,Candace Owens
260,605372,Sauron
261,604195,Sardar (2022 film)
262,602339,All Quiet on the Western Front (2022 film)
263,601753,Miles Teller
264,600997,Android (operating system)
265,600459,The Handmaid's Tale (TV series)
266,597778,Gotham Knights (video game)
267,594576,Doctor Who
268,594336,MacOS
269,594308,Brad Pitt
270,594180,Death of Mahsa Amini
271,592484,Sara Lee (wrestler)
272,592182,Henry Cavill
273,591309,Hellraiser
274,588636,Spotify
275,587620,2022–23 UEFA Champions League
276,587403,Kobe Bryant
277,587156,Day of the Dead
278,586915,"Prince Philip, Duke of Edinburgh"
279,586704,Crown Jewel (2022)
280,586111,Kaley Cuoco
281,583030,Iran
282,582888,Amazon (company)
283,581789,BBC World Service
284,581267,RRR (film)
285,580690,Nancy Pelosi
286,580373,Fire & Blood (novel)
288,577543,Milly Alcock
289,576505,Muhammad Ali
290,576351,List of James Bond films
291,575922,Scorn (video game)
292,575379,List of prime ministers of the United Kingdom by length of tenure
293,575011,Arthur Miller
294,568352,Infosys
295,563101,Eminem
296,563026,JavaScript
298,560972,George V
299,560523,Mike Tyson
300,560366,George Clooney
301,558568,List of states and territories of the United States
302,554167,The Walking Dead (TV series)
303,553403,Naane Varuvean
304,551774,Khabib Nurmagomedov
305,550964,George R. R. Martin
306,549641,"Twitter, Inc."
307,549407,Paddy Considine
308,549072,Germany
309,548745,Halloween (2018 film)
310,548665,English language
311,547519,Christian Bale
312,545068,Thor: Love and Thunder
313,542313,Chief executive officer
314,541389,Mulayam Singh Yadav
315,541383,The Woman King
316,541116,Bridget Moynahan
317,541080,2022 Ballon d'Or
318,540673,Derry Girls
319,540451,Pete Davidson
320,540450,Mia Goth
321,539023,Angelina Jolie
322,537042,Dietrich Mateschitz
323,535712,Sudha Murty
325,535277,Turkey
326,534776,Jair Bolsonaro
327,534434,Dusty Baker
328,534167,Christopher Columbus
329,533811,Manchester City F.C.
330,533362,Waukesha Christmas parade attack
331,533351,A. P. J. Abdul Kalam
332,532828,Joe DiMaggio
333,532776,The Banshees of Inisherin
334,531589,Camila Cabello
335,530000,Ron DeSantis
336,528947,Barack Obama
337,528375,John F. Kennedy
338,528233,Tham Luang cave rescue
339,527405,Zoe Saldaña
340,525883,American Horror Story: NYC
341,525850,Max Verstappen
342,525317,Emma Roberts
343,522248,Stanley Tucci
344,522237,Dua Lipa
345,521541,Chola dynasty
346,521523,Jordan Peterson
347,520588,Death of Marilyn Monroe
348,518820,The Super Mario Bros. Movie
349,518493,Gladys Pearl Baker
350,517658,Steve Jobs
351,517065,October 2022 Conservative Party leadership election
352,516534,The White Lotus
353,516348,Christian McCaffrey
354,515069,Charles Chaplin Jr.
355,514317,Scarlett Johansson
356,512086,Bryce Harper
357,511869,Artificial intelligence
358,511465,Madonna
359,510641,Arnold Schwarzenegger
360,510094,Mehmet Oz
361,508791,"Solar eclipse of October 25, 2022"
362,506432,Rohan Murty
363,506219,Rick and Morty (season 6)
364,505559,Pornhub
365,505249,Florence Pugh
366,505140,Generation Z
367,501681,Matt Goss
368,500863,Anya Taylor-Joy
369,500819,BTS
370,500726,London
371,499751,FC Barcelona
372,499740,Rajaraja I
373,499323,XXX
374,499302,Pakistan
375,498299,Freddie Mercury
376,496303,FIFA World Cup
377,495949,Lisa Marie Presley
378,495460,Val Kilmer
379,495016,Brendan Gleeson
380,494055,Google Maps
381,493266,2022 United States elections
382,493091,Albert Einstein
383,492917,Jan Broberg Felt
384,492193,A Friend of the Family (TV series)
385,492095,Leonardo DiCaprio
387,491315,Nayanthara
388,490968,Giorgia Meloni
389,489512,Ticket to Paradise (2022 film)
390,488866,IOS
391,488099,Justin Verlander
392,487921,Virat Kohli
393,487455,Amitabh Bachchan
394,487330,Jake Paul
395,486882,Avatar: The Way of Water
396,486476,Soviet Union
397,483824,Armie Hammer
398,483010,Michael Jordan
399,482399,Deion Sanders
400,481849,Little Women (2022 TV series)
401,481448,Charles Manson
402,480883,Chelsea F.C.
403,480852,Arsenal F.C.
404,475916,List of countries by GDP (nominal)
405,474660,Netherlands
406,474444,California
407,474255,Jeff Bezos
408,473721,Clint Eastwood
409,473452,La Liga
410,473371,Daniel Ek
411,472529,Vikram (2022 film)
412,472057,Morfydd Clark
413,471636,Vaishali Takkar
414,468564,Philippines
415,468524,Marvel Cinematic Universe
416,468023,Attack of the Dead Men
417,466650,Cyberpunk: Edgerunners
418,465246,Call of Duty: Modern Warfare 2
419,465133,J. R. R. Tolkien
420,463077,Shia LaBeouf
421,462784,Lewis Hamilton
422,462352,Priscilla Presley
423,461883,Fall (2022 film)
424,461610,DEFCON
425,461449,2022 in film
426,460365,The Lord of the Rings
427,460049,Rashmika Mandanna
428,459746,Indonesia
429,457978,The Stranger (2022 film)
430,457688,Conservative Party (UK)
431,457340,OnlyFans
432,457264,Disappearance of Emanuela Orlandi
433,456410,"William, Prince of Wales"
434,456267,Alia Bhatt
435,455917,Wiki
436,455805,List of countries by Human Development Index
437,455552,Brendan Fraser
438,454678,Johnny Depp
439,454511,List of American films of 2022
440,454318,Beetlejuice
441,454023,LGBT
442,453430,NXT Halloween Havoc (2022)
443,452888,The Lord of the Rings (film series)
444,452231,Shaquille O'Neal
445,450707,List of serial killers in the United States
446,450175,Peaky Blinders (TV series)
447,449820,List of Teachers' Days
448,449579,Breaking Bad
449,447292,Avatar (2009 film)
450,446649,Tom Pelphrey
451,446081,The School for Good and Evil
452,446079,Luke Macfarlane
453,445317,Anna Sorokin
454,445048,Marvel Cinematic Universe: Phase Four
455,444702,The Crown (TV series)
456,442959,Stranger Things
457,442797,Wikimedia Foundation
458,442455,Jimmy Carter
459,441792,The Sinner (TV series)
460,441507,Guillermo del Toro
461,440872,Fellatio
462,439524,Kim Petras
463,438941,Roblox
464,438792,David Bowie
465,438285,France
466,437453,Werewolf by Night
467,437082,Brazil
468,436652,C++
469,436124,Pierce Brosnan
470,435994,Nope (film)
471,435758,Aishwarya Rai Bachchan
472,435465,Italy
473,434646,Karthikeya 2
474,433989,Selena Gomez
475,433130,Tár
476,432601,Bella Hadid
477,431943,Kris Jenner
478,431661,Apple Inc.
479,431501,Liverpool F.C.
480,431326,Edward VII
481,430989,South Africa
482,430799,Sylvester Stallone
483,430212,Taiwan
484,430197,Rihanna
485,428502,Catherine de' Medici
486,428435,Abraham Lincoln
487,427837,Sandy Hook Elementary School shooting
488,427576,Mahsa Amini protests
489,427084,Paris Saint-Germain F.C.
490,425953,Arshad Sharif
491,425765,Ottoman Empire
492,425112,Jack Dorsey
493,422265,Geena Davis
494,421471,Tupac Shakur
496,420878,.xxx
497,420458,Joe Alwyn
