Server,IP,Location
dns,97.107.140.73,"Morris Plains, NJ, US"
repl_1,139.144.30.25,"Atlanta, GA, US"
repl_2,173.255.210.124,"Fremont, CA, US"
repl_3,139.144.69.56,"Frankfurt, Germany"
repl_4,185.3.95.25,"London, UK"
repl_5,139.162.83.107,"Tokyo, Japan"
repl_6,192.46.211.228,"Mumbai, India"
repl_7,170.187.240.5,"Sydney, Australia"
client_1,35.175.146.183,"Ashburn, VA, US"
client_2,52.53.228.21,"San Francisco, CA, US"
client_3,18.192.115.31,"Frankfurt, Germany"
client_4,18.134.159.46,"London, UK"
client_5,43.206.138.184,"Tokyo, Japan"